tracking_id,file_number,module,source_path,source_line,lean_kind,source_name,fqn,source_header
S01.D001,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,20,abbrev,StatisticalRelation,VennDiagrams.StatisticalRelation,abbrev StatisticalRelation (ι : Type u) := ι → ι → Prop
S01.D002,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,23,def,relationUnion,VennDiagrams.relationUnion,def relationUnion {ι : Type u} (D₁ D₂ : StatisticalRelation ι) :
S01.D003,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,28,def,identityRelation,VennDiagrams.identityRelation,def identityRelation {ι : Type u} : StatisticalRelation ι :=
S01.D004,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,32,def,equivalenceClosure,VennDiagrams.equivalenceClosure,def equivalenceClosure {ι : Type u} (D : StatisticalRelation ι) :
S01.D005,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,37,abbrev,Procedure,VennDiagrams.Procedure,abbrev Procedure (ι : Type u) (A : Type v) := Set (ι × A)
S01.D006,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,40,def,output,VennDiagrams.output,def output {ι : Type u} {A : Type v} (Ev : Procedure ι A) (i : ι) : Set A :=
S01.D007,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,44,def,graphProcedure,VennDiagrams.graphProcedure,def graphProcedure {ι : Type u} {A : Type v} (f : ι → A) : Procedure ι A :=
S01.D008,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,48,def,Preserves,VennDiagrams.Preserves,def Preserves {ι : Type u} {A : Type v} (Ev : Procedure ι A)
S01.D009,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,53,def,preservingClass,VennDiagrams.preservingClass,def preservingClass {ι : Type u} (A : Type v) (D : StatisticalRelation ι) :
S01.D010,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,58,def,relationClass,VennDiagrams.relationClass,def relationClass {ι : Type u} (D : StatisticalRelation ι) (i : ι) : Set ι :=
S01.R001,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,61,theorem,output_graphProcedure,VennDiagrams.output_graphProcedure,@[simp] theorem output_graphProcedure {ι : Type u} {A : Type v} (f : ι → A) (i : ι) :
S01.R002,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,67,theorem,exists_function_of_unique_outputs,VennDiagrams.exists_function_of_unique_outputs,theorem exists_function_of_unique_outputs {ι : Type u} {A : Type v}
S01.R003,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,85,theorem,graphProcedure_unique_outputs,VennDiagrams.graphProcedure_unique_outputs,theorem graphProcedure_unique_outputs {ι : Type u} {A : Type v} (f : ι → A) :
S01.D011,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,94,def,constantProcedure,VennDiagrams.constantProcedure,def constantProcedure {ι : Type u} {A : Type v} (a₀ : A) : Procedure ι A :=
S01.R004,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,97,theorem,output_constantProcedure,VennDiagrams.output_constantProcedure,@[simp] theorem output_constantProcedure {ι : Type u} {A : Type v} (a₀ : A) (i : ι) :
S01.R005,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,103,theorem,preservingClass_nonempty,VennDiagrams.preservingClass_nonempty,theorem preservingClass_nonempty {ι : Type u} {A : Type v}
S01.R006,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,110,theorem,preservingClass_antitone,VennDiagrams.preservingClass_antitone,theorem preservingClass_antitone {ι : Type u} {A : Type v}
S01.R007,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,117,theorem,preserves_union_iff,VennDiagrams.preserves_union_iff,theorem preserves_union_iff {ι : Type u} {A : Type v}
S01.R008,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,132,theorem,preservingClass_union,VennDiagrams.preservingClass_union,theorem preservingClass_union {ι : Type u} {A : Type v}
S01.R009,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,140,theorem,relation_le_equivalenceClosure,VennDiagrams.relation_le_equivalenceClosure,theorem relation_le_equivalenceClosure {ι : Type u} (D : StatisticalRelation ι) :
S01.R010,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,146,theorem,equivalenceClosure_isEquivalence,VennDiagrams.equivalenceClosure_isEquivalence,theorem equivalenceClosure_isEquivalence {ι : Type u} (D : StatisticalRelation ι) :
S01.R011,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,151,theorem,equivalenceClosure_minimal,VennDiagrams.equivalenceClosure_minimal,theorem equivalenceClosure_minimal {ι : Type u} {D R : StatisticalRelation ι}
S01.R012,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,162,theorem,equivalenceClosure_eq_zigzagClosure,VennDiagrams.equivalenceClosure_eq_zigzagClosure,theorem equivalenceClosure_eq_zigzagClosure {ι : Type u} (D : StatisticalRelation ι) :
S01.R013,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,168,theorem,preserves_equivalenceClosure_iff,VennDiagrams.preserves_equivalenceClosure_iff,theorem preserves_equivalenceClosure_iff {ι : Type u} {A : Type v}
S01.R014,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,182,theorem,preservingClass_equivalenceClosure,VennDiagrams.preservingClass_equivalenceClosure,theorem preservingClass_equivalenceClosure {ι : Type u} {A : Type v}
S01.R015,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,189,theorem,disjoint_relationClasses_of_not_related,VennDiagrams.disjoint_relationClasses_of_not_related,theorem disjoint_relationClasses_of_not_related {ι : Type u}
S01.R016,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,197,theorem,not_related_of_disjoint_relationClasses,VennDiagrams.not_related_of_disjoint_relationClasses,theorem not_related_of_disjoint_relationClasses {ι : Type u}
S01.R017,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,207,theorem,not_related_iff_disjoint_relationClasses,VennDiagrams.not_related_iff_disjoint_relationClasses,theorem not_related_iff_disjoint_relationClasses {ι : Type u}
S01.D012,S01,VennDiagrams.S01_Relations,VennDiagrams/S01_Relations.lean,214,def,classIndicatorProcedure,VennDiagrams.classIndicatorProcedure,def classIndicatorProcedure {ι : Type u} {A : Type v}
