id,kind,status,lean_declarations
introduction,section,section,VennDiagrams.Certification.PaperSignature.theorem_BT1_procedure_classes
BT0,equation,proved,VennDiagrams.birnbaum_semantics_iff_evans_closure
inference_bases,example,proved,VennDiagrams.Certification.PaperSignature.finite_examples_exact_certificate
tab:my-table,table,proved,VennDiagrams.FiniteExamples.e0_probability_table|VennDiagrams.FiniteExamples.e1_probability_table|VennDiagrams.FiniteExamples.e2_probability_table|VennDiagrams.FiniteExamples.eT_probability_table
Evans-construal,section,section,VennDiagrams.FiniteModel|VennDiagrams.StatisticalRelation|VennDiagrams.PackedFiniteInferenceBase|VennDiagrams.PackedFiniteInferenceBase.asInferenceBase
statistical_relations,section,section,VennDiagrams.StatisticalRelation|VennDiagrams.likelihoodRelation|VennDiagrams.conditionalityRelation|VennDiagrams.finiteSufficiencyPair|VennDiagrams.finiteDirectionalConditionalityPair|VennDiagrams.finiteConditionalityPair|VennDiagrams.packedFiniteLikelihoodRelation|VennDiagrams.packedFiniteSufficiencyRelation|VennDiagrams.packedFiniteConditionalityRelation
ex:pairs-in-S,example,proved,VennDiagrams.FiniteExamples.mStatistic_minimal_sufficient_criterion|VennDiagrams.FiniteExamples.mTStatistic_minimal_sufficient_criterion|VennDiagrams.Certification.PaperSignature.PackedRelationExample.mStatistic_isFiniteMinimalSufficient|VennDiagrams.Certification.PaperSignature.PackedRelationExample.mTStatistic_isFiniteMinimalSufficient|VennDiagrams.Certification.PaperSignature.PackedRelationExample.six_listed_initial_packedS_memberships
h0T,table,proved,VennDiagrams.FiniteExamples.induced_m_models_table|VennDiagrams.FiniteExamples.induced_m_models_coincide|VennDiagrams.Certification.PaperSignature.PackedRelationExample.m_and_mT_inducedPMF_coincide
Cond-example,example,proved,VennDiagrams.FiniteExamples.firstCoordinate_ancillary|VennDiagrams.FiniteExamples.secondCoordinate_ancillary|VennDiagrams.FiniteExamples.conditionality_nontransitivity_witness|VennDiagrams.FiniteExamples.concreteConditionality_not_transitive|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0GivenU0RealPmf_eq_ratCast|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0GivenV0RealPmf_eq_ratCast|VennDiagrams.Certification.PaperSignature.PackedRelationExample.packed_e0_conditionality_nontransitivity_witness|VennDiagrams.Certification.PaperSignature.packedFiniteConditionalityRelation_not_transitive
tab:Joint-Cond-V,table,proved,VennDiagrams.FiniteExamples.conditional_v_table|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0GivenV0RealPmf_eq_ratCast
tab:Joint-Cond-V-U,table,proved,VennDiagrams.FiniteExamples.conditional_u0_v0_table|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0GivenU0RealPmf_eq_ratCast|VennDiagrams.Certification.PaperSignature.PackedRelationExample.e0GivenV0RealPmf_eq_ratCast
tab:MLE-E-U=0,table,proved,VennDiagrams.FiniteExamples.conditional_u0_mle_induced_table|VennDiagrams.FiniteExamples.e0_conditional_u0_mle_laws_coincide
Hierarchical-Example,example,proved,VennDiagrams.FiniteExamples.hierarchical_models_normalized|VennDiagrams.FiniteExamples.selector_ancillary|VennDiagrams.FiniteExamples.condition_on_selector_zero_is_e3|VennDiagrams.FiniteExamples.condition_on_selector_one_is_e4|VennDiagrams.FiniteExamples.hierarchical_mle_laws_differ|VennDiagrams.Certification.PaperSignature.PackedRelationExample.five_listed_hierarchical_packedC_memberships
