manuscript_id,kind,signature_declaration,status,library_declarations
procedure,definition,VennDiagrams.Certification.PaperSignature.definition_procedure_output,compiled,VennDiagrams.finiteProbabilityMeasures_eq_iff_singletonPMF
preserving,definition,VennDiagrams.Certification.PaperSignature.definition_preserves_relation,compiled,VennDiagrams.Certification.PaperSignature.procedure_examples_certificate|VennDiagrams.Certification.PaperSignature.pvalue_sufficiency_not_likelihood_assembly|VennDiagrams.packedLowerTailLRPValueProcedure_preserves_sufficiency|VennDiagrams.Certification.PaperSignature.packed_e5_e6_lr_pvalue_separation|VennDiagrams.packedLowerTailLRPValue_mem_Icc|VennDiagrams.Certification.PaperSignature.finite_sufficiency_and_lr_certificate|VennDiagrams.finite_neyman_fisher_factorization|VennDiagrams.finite_minimal_sufficiency_iff_likelihoodFiberCriterion|VennDiagrams.canonicalMinimalSufficient_isFiniteMinimalSufficient|VennDiagrams.injective_relabel_canonicalMinimalSufficient_isFiniteMinimalSufficient|VennDiagrams.lowerTailLRPValue_induced_of_finiteSufficient|VennDiagrams.lowerTailLRPValue_induced_of_finiteMinimalSufficient|VennDiagrams.packedLowerTailLRPValue_eq_reduced|VennDiagrams.Certification.PaperSignature.PackedRelationExample.mStatistic_isFiniteMinimalSufficient|VennDiagrams.Certification.PaperSignature.PackedRelationExample.mTStatistic_isFiniteMinimalSufficient|VennDiagrams.lowerTailLRPValue_superuniform|VennDiagrams.lowerTailLRPValue_strict_rejection_bound|VennDiagrams.packedPosteriorProbability_val|VennDiagrams.packedPosteriorProcedure_preserves_likelihood|VennDiagrams.packedPosteriorNormalizer_pos_of_positive_prior|VennDiagrams.mem_packedUMVUEOutput_iff|VennDiagrams.coverageProbability_eq_sum_indicator|VennDiagrams.mem_output_packedConfidenceProcedure_iff|VennDiagrams.packedConfidenceProcedure_output_nonempty|VennDiagrams.Certification.PaperSignature.finite_lr_pvalue_separation|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.e5_pvalue|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.e6_pvalue|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.pvalue_reparameterize|VennDiagrams.Certification.PaperSignature.FinitePValueTransfer.procedure_in_sufficiency_not_likelihood
joint-preserving,definition,VennDiagrams.Certification.PaperSignature.definition_joint_preservation,compiled,VennDiagrams.preservingClass|VennDiagrams.preserves_union_iff|VennDiagrams.preservingClass_union
BT1,theorem,VennDiagrams.Certification.PaperSignature.theorem_BT1_procedure_classes,compiled,VennDiagrams.Certification.PaperSignature.finite_examples_exact_certificate|VennDiagrams.Certification.PaperSignature.concrete_sufficiency_conditionality_incomparable|VennDiagrams.Certification.PaperSignature.packedFiniteConditionalityRelation_not_transitive|VennDiagrams.Certification.PaperSignature.packed_sufficiency_conditionality_incomparable|VennDiagrams.likelihoodRelation_isEquivalence|VennDiagrams.packedFiniteSufficiencyRelation_isEquivalence|VennDiagrams.packedFiniteConditionalityRelation_reflexive|VennDiagrams.packedFiniteConditionalityRelation_symmetric|VennDiagrams.packedFiniteConditionalityRelation_le_likelihoodRelation|VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation|VennDiagrams.packedFiniteSufficiencyRelation_le_likelihoodRelation|VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation|VennDiagrams.Certification.PaperSignature.evans2013_theorem7_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem9_packed|VennDiagrams.Certification.PaperSignature.packedFiniteSufficiencyRelation_lt_likelihoodRelation|VennDiagrams.Certification.PaperSignature.packed_evans2013_premises|VennDiagrams.Certification.PaperSignature.packed_evans2013_joint_strict_premise|VennDiagrams.Certification.PaperSignature.packed_sufficiency_extension_not_le_conditionality|VennDiagrams.Certification.PaperSignature.PackedRelationExample.six_listed_initial_packedS_memberships|VennDiagrams.Certification.PaperSignature.reduced_stable_sufficiency|VennDiagrams.Certification.PaperSignature.reduced_stable_counterexample|VennDiagrams.Certification.PaperSignature.reduced_stable_not_le_conditionality|VennDiagrams.packedFiniteSufficiencyRelation_le_reducedStableConditionality|VennDiagrams.ReducedStable.laminalCell_central|VennDiagrams.ReducedStable.laminalStatistic_ancillary|VennDiagrams.ReducedStable.statistic_eq_of_laminalCell_eq|VennDiagrams.ReducedStable.centralEvent_iff_conditional_invariance|VennDiagrams.ReducedStable.centralEvent_reweighting_invariant|VennDiagrams.ReducedStable.laminalCell_mass_pos|VennDiagrams.ReducedStable.laminalConditionalPMF_nonneg|VennDiagrams.ReducedStable.laminalConditionalPMF_sum_one|VennDiagrams.ReducedStable.laminalConditionalPMF_equiv|VennDiagrams.PackedFiniteStatistic.inducedModel_all_effective|VennDiagrams.Certification.PaperSignature.singleton_parameter_procedure_classes|VennDiagrams.Certification.PaperSignature.packed_procedure_class_strict_iff|VennDiagrams.Certification.PaperSignature.procedure_eq_empty_of_isEmpty_output|VennDiagrams.Certification.PaperSignature.preservingClass_eq_of_isEmpty_output|VennDiagrams.packed_sufficiency_eq_likelihood_of_subsingleton_parameter|VennDiagrams.parameterFreeCoin_in_sufficiency_not_conditionality|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.exists_surjection_parameter|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.sufficiency_iff|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.conditionality_iff|VennDiagrams.Certification.PaperSignature.FiniteParameterTransfer.likelihood_iff|VennDiagrams.Certification.PaperSignature.SampleUniverseLift.joint_strict_witness|VennDiagrams.Certification.PaperSignature.SampleUniverseLift.conditionality_not_sufficiency_witness|VennDiagrams.Certification.PaperSignature.PackedRelationExample.five_listed_hierarchical_packedC_memberships|VennDiagrams.Certification.PaperSignature.evans2013_lemma3_packed|VennDiagrams.Certification.PaperSignature.evans2013_lemma4_packed|VennDiagrams.Certification.PaperSignature.evans2013_lemma5_packed|VennDiagrams.Certification.PaperSignature.evans2013_lemma6_packed|VennDiagrams.Certification.PaperSignature.evans2013_theorem8_packed|VennDiagrams.Certification.PaperSignature.evans2013_corollary10_packed|VennDiagrams.Certification.PaperSignature.evans2013_four_step_chain_packed|VennDiagrams.Certification.PaperSignature.evans2013_full_certificate_packed
BT2,corollary,VennDiagrams.Certification.PaperSignature.corollary_BT2_conditional_pairs,compiled,VennDiagrams.packedFiniteConditionalityClosure_eq_likelihoodRelation
BT3,corollary,VennDiagrams.Certification.PaperSignature.corollary_BT3_joint_pairs,compiled,VennDiagrams.packedFiniteJointClosure_eq_likelihoodRelation
bl:1,lemma,VennDiagrams.Certification.PaperSignature.lemma_bl1_equivalence_closure,compiled,VennDiagrams.Certification.PaperSignature.evans2013_lemma1|VennDiagrams.Certification.PaperSignature.evans2013_lemma2
bl:3,lemma,VennDiagrams.Certification.PaperSignature.lemma_bl3_disjoint_classes,compiled,
lemma-a,lemma,VennDiagrams.Certification.PaperSignature.lemma_a_preserving_classes,compiled,
lemma-b,lemma,VennDiagrams.Certification.PaperSignature.lemma_b_strict_antitone,compiled,
